customer_id,customer_name,region,segment,gross_sales,discounts,sales_before_returns,refunds,net_sales,sold_units,returned_units,completed_orders,purchasing_customers,aov,unit_return_rate,net_sales_share,is_repeat_customer
C0001,Customer 0001,East,Business,3171.00,120.9000,3050.1000,0.0000,3050.1000,20,0,4,1,762.5250,0,0.001626291006116466557674972778,True
C0002,Customer 0002,West,Consumer,4523.00,392.7500,4130.2500,680.4000,3449.8500,33,4,4,1,862.4625,0.1212121212121212121212121212,0.001839434781630402988097113156,True
C0003,Customer 0003,North,Business,6046.00,527.5500,5518.4500,392.0000,5126.4500,31,2,4,1,1281.6125,0.06451612903225806451612903226,0.002733385635981036682270372839,True
C0004,Customer 0004,North,Consumer,10163.00,737.7500,9425.2500,0.0000,9425.2500,48,0,5,1,1885.0500,0,0.005025474346873619364193317325,True
C0005,Customer 0005,South,Business,6404.00,429.5500,5974.4500,186.2000,5788.2500,47,1,4,1,1447.0625,0.02127659574468085106382978723,0.003086252554392851890909203364,True
C0006,Customer 0006,East,Consumer,7614.00,589.3500,7024.6500,0.0000,7024.6500,44,0,5,1,1404.9300,0,0.003745491989153154586528801523,True
C0007,Customer 0007,North,Consumer,8116.00,847.0000,7269.0000,434.8000,6834.2000,46,3,5,1,1366.8400,0.06521739130434782608695652174,0.003643945442444888937563456594,True
C0008,Customer 0008,North,Consumer,7508.00,818.4000,6689.6000,312.0000,6377.6000,54,4,7,1,911.0857142857142857142857143,0.07407407407407407407407407407,0.003400489662833473367505297003,True
C0009,Customer 0009,South,Business,12189.00,1070.4000,11118.6000,855.0000,10263.6000,59,3,7,1,1466.228571428571428571428571,0.05084745762711864406779661017,0.005472476433683146834973558442,True
C0010,Customer 0010,West,Consumer,3550.00,339.5500,3210.4500,0.0000,3210.4500,22,0,4,1,802.6125,0,0.001711788453029936743086330401,True
C0011,Customer 0011,North,Business,6501.00,683.7000,5817.3000,0.0000,5817.3000,41,0,5,1,1163.4600,0,0.003101741801869224256897353903,True
C0012,Customer 0012,West,Consumer,2390.00,390.5000,1999.5000,58.5000,1941.0000,16,1,2,1,970.5000,0.0625,0.001034927000056411785989679736,True
C0013,Customer 0013,West,Business,2530.00,330.5000,2199.5000,0.0000,2199.5000,24,0,4,1,549.8750,0,0.001172757308925336281959969386,True
C0014,Customer 0014,North,Business,3293.00,230.3000,3062.7000,0.0000,3062.7000,20,0,3,1,1020.9000,0,0.001633009233937543728465013976,True
C0015,Customer 0015,West,Consumer,3967.00,293.8000,3673.2000,521.1000,3152.1000,23,3,4,1,788.0250,0.1304347826086956521739130435,0.001680676659906138892641972949,True
C0016,Customer 0016,East,Consumer,8688.00,720.7000,7967.3000,0.0000,7967.3000,45,0,7,1,1138.185714285714285714285714,0,0.004248106072926043082182161442,True
C0017,Customer 0017,South,Consumer,5536.00,615.3000,4920.7000,357.2000,4563.5000,32,2,6,1,760.5833333333333333333333333,0.0625,0.002433224814403624515901032186,True
C0018,Customer 0018,North,Consumer,947.00,176.0000,771.0000,0.0000,771.0000,4,0,2,1,385.5000,0,0.0004110915595278173554858542381,True
C0019,Customer 0019,North,Business,7849.00,694.7000,7154.3000,199.2000,6955.1000,39,1,4,1,1738.7750,0.02564102564102564102564102564,0.003708408437966177028715518562,True
C0020,Customer 0020,West,Consumer,1113.00,99.6000,1013.4000,0.0000,1013.4000,7,0,2,1,506.7000,0,0.0005403374661809210221133134694,True
C0021,Customer 0021,West,Business,4632.00,529.7000,4102.3000,214.4000,3887.9000,23,2,3,1,1295.966666666666666666666667,0.08695652173913043478260869565,0.002072999836949677167825489873,True
C0022,Customer 0022,East,Consumer,3853.00,262.3500,3590.6500,130.0000,3460.6500,34,2,4,1,865.1625,0.05882352941176470588235294118,0.001845193262619897705917148468,True
C0023,Customer 0023,South,Consumer,11415.00,968.4500,10446.5500,115.9000,10330.6500,70,1,8,1,1291.33125,0.01428571428571428571428571429,0.005508227003159593208106277672,True
